user_id,user_name,rank,restaurant_id,store_name,rag_distance,filter_score,사용자평가
user_0446,Giuseppe Romano,1,31371,디토,0.4988837242126465,6,추천
user_0446,Giuseppe Romano,2,42572,망우식당,0.5258208513259888,6,추천
user_0446,Giuseppe Romano,3,39957,심퍼티쿠시(서울역점),0.5331030488014221,6,추천
user_0446,Giuseppe Romano,4,29456,최다이닝,0.5393677949905396,6,미추천
user_0446,Giuseppe Romano,5,31306,바통밀카페,0.5413222908973694,6,추천
user_0446,Giuseppe Romano,6,44592,h315(현대백화점미아점),0.548972487449646,6,미추천
user_0446,Giuseppe Romano,7,39958,심퍼티쿠시(성수점),0.5635367631912231,6,미추천
user_0446,Giuseppe Romano,8,36164,무위낙원,0.5706604719161987,6,추천
user_0446,Giuseppe Romano,9,47995,그레베르,0.5892846584320068,6,추천
user_0446,Giuseppe Romano,10,41895,닥터로빈(강서점),0.5993208885192871,6,추천
user_0016,Chun Hei Wong,1,1170,송죽장,0.47318732738494873,5,추천
user_0016,Chun Hei Wong,2,43780,다이닝웍(영등포점),0.507270872592926,5,미추천
user_0016,Chun Hei Wong,3,43943,두보마라탕(마포본점),0.5415662527084351,5,추천
user_0016,Chun Hei Wong,4,18176,토영자갈치곰장어,0.46795159578323364,2,미추천
user_0016,Chun Hei Wong,5,8666,우리집떡볶이,0.4731295108795166,2,추천
user_0016,Chun Hei Wong,6,293,마산해물아구찜통나무식당,0.4848099946975708,2,추천
user_0016,Chun Hei Wong,7,35903,용강동숯불쭈꾸미구이,0.5082707405090332,2,미추천
user_0016,Chun Hei Wong,8,6405,영등포복집,0.5092419385910034,2,추천
user_0016,Chun Hei Wong,9,43561,이설면옥(남가좌점),0.5166783332824707,2,추천
user_0016,Chun Hei Wong,10,38102,다모아분식,0.5182737112045288,2,추천
user_0153,Lina Müller,1,42572,망우식당,0.42839938402175903,6,미추천
user_0153,Lina Müller,2,31306,바통밀카페,0.45026886463165283,6,추천
user_0153,Lina Müller,3,31371,디토,0.4638540744781494,6,추천
user_0153,Lina Müller,4,29456,최다이닝,0.4646190404891968,6,미추천
user_0153,Lina Müller,5,39958,심퍼티쿠시(성수점),0.47611063718795776,6,추천
user_0153,Lina Müller,6,39957,심퍼티쿠시(서울역점),0.47667139768600464,6,미추천
user_0153,Lina Müller,7,41895,닥터로빈(강서점),0.5033560991287231,6,추천
user_0153,Lina Müller,8,36164,무위낙원,0.5091253519058228,6,추천
user_0153,Lina Müller,9,44592,h315(현대백화점미아점),0.5149180889129639,6,추천
user_0153,Lina Müller,10,6818,지아니스나폴리,0.5177485942840576,6,추천
user_0295,Hazel Brown,1,29169,독일주택,0.5483617782592773,5,미추천
user_0295,Hazel Brown,2,44471,38도씨식당,0.5510967969894409,5,추천
user_0295,Hazel Brown,3,29507,충정각,0.5673695802688599,5,미추천
user_0295,Hazel Brown,4,36171,앤티도트,0.5873963832855225,5,추천
user_0295,Hazel Brown,5,39957,심퍼티쿠시(서울역점),0.589686393737793,5,추천
user_0295,Hazel Brown,6,8777,디미,0.5948742628097534,5,추천
user_0295,Hazel Brown,7,43287,오스테리아오라,0.6025286912918091,5,추천
user_0295,Hazel Brown,8,37679,별관,0.6041290760040283,5,추천
user_0295,Hazel Brown,9,36164,무위낙원,0.6087002754211426,5,미추천
user_0295,Hazel Brown,10,31371,디토,0.6104645133018494,5,추천
user_0041,Wei Zhang,1,14417,서룡,0.5398628115653992,5,추천
user_0041,Wei Zhang,2,22047,실크로드,0.5434560775756836,5,추천
user_0041,Wei Zhang,3,43780,다이닝웍(영등포점),0.5565177202224731,5,추천
user_0041,Wei Zhang,4,30706,룽청,0.557797908782959,5,추천
user_0041,Wei Zhang,5,8174,열빈,0.5618116855621338,5,미추천
user_0041,Wei Zhang,6,36799,메이민,0.566444993019104,5,미추천
user_0041,Wei Zhang,7,36138,천미미(신사점),0.5712612867355347,5,추천
user_0041,Wei Zhang,8,24348,도성,0.5192360877990723,3,추천
user_0041,Wei Zhang,9,15415,모심,0.480724036693573,2,추천
user_0041,Wei Zhang,10,42673,안짱,0.48493391275405884,2,미추천
user_0411,Jack Thompson,1,7016,더담,0.5050534605979919,2,추천
user_0411,Jack Thompson,2,29131,채윤희,0.5197148323059082,2,추천
user_0411,Jack Thompson,3,29553,이박사의신동막걸리,0.5381364226341248,2,추천
user_0411,Jack Thompson,4,36150,박가네육회,0.5503986477851868,2,추천
user_0411,Jack Thompson,5,26271,설참치(2호점),0.5572550296783447,2,추천
user_0411,Jack Thompson,6,29858,도산분식,0.5576519966125488,2,미추천
user_0411,Jack Thompson,7,49583,천수횟집,0.5589670538902283,2,미추천
user_0411,Jack Thompson,8,4091,수빈,0.5596493482589722,2,미추천
user_0411,Jack Thompson,9,44386,신선술집도원(건대점),0.5603623390197754,2,추천
user_0411,Jack Thompson,10,43943,두보마라탕(마포본점),0.5604065656661987,2,추천
user_0104,Aiden Smith,1,29553,이박사의신동막걸리,0.5184875726699829,3,미추천
user_0104,Aiden Smith,2,29131,채윤희,0.525972306728363,3,추천
user_0104,Aiden Smith,3,7016,더담,0.5366168022155762,3,추천
user_0104,Aiden Smith,4,29858,도산분식,0.5640062093734741,3,추천
user_0104,Aiden Smith,5,29631,나리의집(청담점),0.574456512928009,3,추천
user_0104,Aiden Smith,6,4091,수빈,0.578581690788269,3,추천
user_0104,Aiden Smith,7,36150,박가네육회,0.5306180119514465,2,추천
user_0104,Aiden Smith,8,49583,천수횟집,0.5492398738861084,2,미추천
