user_id,user_name,rank,restaurant_id,store_name,rag_distance,filter_score,사용자평가
user_0446,Giuseppe Romano,1,31371,디토,0.5409589409828186,10,미추천
user_0446,Giuseppe Romano,2,29456,최다이닝,0.5471988916397095,10,미추천
user_0446,Giuseppe Romano,3,39957,심퍼티쿠시(서울역점),0.5461030006408691,8,미추천
user_0446,Giuseppe Romano,4,8583,가회,0.45172154903411865,7,추천
user_0446,Giuseppe Romano,5,8609,옥정,0.4709520936012268,7,미추천
user_0016,Chun Hei Wong,1,1170,송죽장,0.4745325446128845,10,추천
user_0016,Chun Hei Wong,2,7943,중화원,0.5337560176849365,10,미추천
user_0016,Chun Hei Wong,3,12471,산동교자관,0.5661318898200989,10,미방문
user_0016,Chun Hei Wong,4,43780,다이닝웍(영등포점),0.554518461227417,9,미추천
user_0016,Chun Hei Wong,5,46650,일일미미(목동41타워점),0.562839150428772,9,미방문
user_0153,Lina Müller,1,42572,망우식당,0.48895263671875,10,미추천
user_0153,Lina Müller,2,39957,심퍼티쿠시(서울역점),0.5437849760055542,8,미방문
user_0153,Lina Müller,3,38465,한우짝갈비살,0.5066137313842773,7,미추천
user_0153,Lina Müller,4,40352,꿈꾸는메밀,0.5111010074615479,7,추천
user_0153,Lina Müller,5,49494,수라간,0.5206955671310425,7,미방문
user_0295,Hazel Brown,1,44471,38도씨식당,0.5510969161987305,9,미방문
user_0295,Hazel Brown,2,36171,앤티도트,0.5873963832855225,9,미추천
user_0295,Hazel Brown,3,8777,디미,0.5948745012283325,9,미추천
user_0295,Hazel Brown,4,43287,오스테리아오라,0.60252845287323,9,미추천
user_0295,Hazel Brown,5,36164,무위낙원,0.6087003946304321,9,추천
user_0041,Wei Zhang,1,14417,서룡,0.5398626923561096,9,추천
user_0041,Wei Zhang,2,22047,실크로드,0.5434560775756836,9,추천
user_0041,Wei Zhang,3,43780,다이닝웍(영등포점),0.5565178990364075,9,추천
user_0041,Wei Zhang,4,30706,룽청,0.557797908782959,9,미방문
user_0041,Wei Zhang,5,36138,천미미(신사점),0.5712612867355347,9,미방문
user_0411,Jack Thompson,1,85,그릭조이,0.6795032024383545,9,미추천
user_0411,Jack Thompson,2,8008,h450,0.683076024055481,9,미방문
user_0411,Jack Thompson,3,7016,더담,0.6214072704315186,7,추천
user_0411,Jack Thompson,4,19821,원조양평신내서울해장국(마포직영점),0.6276332139968872,6,미방문
user_0411,Jack Thompson,5,36150,박가네육회,0.6410604119300842,6,추천
user_0104,Aiden Smith,1,44471,38도씨식당,0.508195161819458,7,미추천
user_0104,Aiden Smith,2,36164,무위낙원,0.5375348329544067,7,추천
user_0104,Aiden Smith,3,36838,하시라도,0.492631733417511,6,추천
user_0104,Aiden Smith,4,43561,이설면옥(남가좌점),0.5014418363571167,6,추천
user_0104,Aiden Smith,5,5656,봉평메밀막국수,0.5122345685958862,6,미추천
user_0387,Priya Sharma,1,880,타지,0.35573095083236694,7,추천
user_0387,Priya Sharma,2,7090,강가(역삼점),0.3738376498222351,7,미추천
user_0387,Priya Sharma,3,1428,신신식당,0.3988833427429199,7,추천
